sourceGenusName	sourceSubgenusName	sourceSpecificEpithetName	Trypanosoma sp.	interactionTypeName	interactionTypeId		Host Species	Geographic Location	Geographic Location	referencePMID	referenceDoi	referenceCitation	Ref.
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Lavia frons P. kuhlii	Egypt	SudanEgypt			Wenyon, C. M. "Report of travelling pathologist and protozoologist." Third report of the Wellcome Research Laboratories at the Gordon Memorial College, Khartoum, A. Balfour (ed.). Ballaire, Tindall and Cox, and Department of Education, London, UK (1908): 121-168.	[24,85]
Trypanosoma	Megatrypanum	megachiropterum	T. megachiropterum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pteropus tonganus	Pteropus tonganus	Tonga	Tonga	3405632	10.1017/s0031182000080082 	Gardner RA, Molyneux DH. Trypanosoma (Megatrypanum) incertum from Pipistrellus pipistrellus: development and transmission by cimicid bugs. Parasitology. 1988 Jun;96 ( Pt 3):433-47. doi: 10.1017/s0031182000080082. PMID: 3405632.	[32,86]
Trypanosoma	Megatrypanum	megachiropterum	T. megachiropterum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pteropus tonganus	Pteropus tonganus	Tonga	Tonga			Marinkelle C.J. Trypanosoma (Megatrypanum) megachiropterum sp.n. from the flying fox. Pteropus tonganus Quoy and Galmard. J. Protozool. 1979;26:352–353. 	[32,86]
Trypanosoma	Megatrypanum	morinorum	T. morinorum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Asellia tridens	Asellia tridens	Senegal	Senegal			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,87]
Trypanosoma	Megatrypanum	morinorum	T. morinorum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Asellia tridens	Asellia tridens	Senegal	Senegal			Leger M., Baury A. Trypanosome de la chauve-souris du Senegal Hipposideros tridens, Et. Geoff C.r.Skanc. Soc. Biol. 1923;88:866–869. 	[5,87]
Trypanosoma	Megatrypanum	mpapuense	T. mpapuense	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris aethiopica	Nycteris aethiopica	Tanganyika	Tanganyika			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5]
Trypanosoma	Megatrypanum	pessoai	T. pessoai	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Desmodus rotundus	D. rotundus	Brazil	Brazil			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,19]
Trypanosoma	Megatrypanum	pessoai	T. pessoai	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Desmodus rotundus	D. rotundus	Brazil	Brazil	14103096		DEANE LM, SUGAY W. TRYPANOSOMA PESSOAI N. SP., IN VAMPIRE BATS DESMODUS ROTUNDUS ROTUNDUS FROM THE STATE OF S AO PAULO, BRAZIL. Rev Inst Med Trop Sao Paulo. 1963 Jul-Aug;5:165-9. PMID: 14103096.	[5,19]
Trypanosoma	Megatrypanum	pifanoi	T. pifanoi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Artibeus lituratus	Artibeus lituratus Phillostomus hastatus	Colombia	Colombia			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,88]
Trypanosoma	Megatrypanum	pifanoi	T. pifanoi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Artibeus lituratus	Artibeus lituratus Phillostomus hastatus	Colombia	Colombia	5703084	10.1111/j.1550-7408.1968.tb02182.x 	Marinkelle CJ, Duarte CA. Trypanosoma pifanoi n. sp. from Colombian bats. J Protozool. 1968 Aug;15(3):621-7. doi: 10.1111/j.1550-7408.1968.tb02182.x. PMID: 5703084.	[5,88]
